Nome;Classe;Código;CNPJ;Nome;Tipo de Ativo;ISIN;Setor Econômico|Bovespa;Subsetor Bovespa;Segmento Bovespa
Cibrasec Cia Bras de Securitizacao;PN;18287 PN;2105040000123;Cibrasec Cia Bras de Securitizacao;Ação;-;-;-;-
Cica;PN;CIC4;-;Cica;Ação;-;-;-;-
Ciclus Ambiental do Brasil SA;ON;26921 ON;10319900000150;Ciclus Ambiental do Brasil SA;Ação;-;-;-;-
Cielo;ON;CIEL3;1027058000191;Cielo;Ação;BRCIELACNOR3;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
Cim Itau;ON;ICPI3;24030025000104;Cim Itau;Ação;-;-;-;-
Cim Itau;PN;ICPI4;24030025000104;Cim Itau;Ação;-;-;-;-
Cimaf;ON;MAFE3;61074506000130;Cimaf;Ação;-;-;-;-
Cimento Tupi S/A;ON;22829 ON;33039223000111;Cimento Tupi S/A;Ação;-;-;-;-
Cimento Tupi S/A;PN;22829 PN;33039223000111;Cimento Tupi S/A;Ação;-;-;-;-
Cimob Partic;ON;GAFP3;34177279000103;Cimob Partic;Ação;BRGAFPACNOR9;-;-;-
Cimob Partic;PN;GAFP4;34177279000103;Cimob Partic;Ação;BRGAFPACNPR6;-;-;-
Cims;ON;CMSA3;272185000193;Cims;Ação;BRCMSAACNOR8;Outros;Outros;Outros
Cims;PN;CMSA4;272185000193;Cims;Ação;BRCMSAACNPR5;Outros;Outros;Outros
Cinesystem;ON;CNSY3;7437016000105;Cinesystem;Ação;BRCNSYACNOR6;Comunicações;Mídia;Produção e difusão de filmes e programas
Claranet Technology S/A;ON;26549 ON;68400225000179;Claranet Technology S/A;Ação;-;-;-;-
Clarion;ON;CLAN3;24956666000186;Clarion;Ação;BRCLANACNOR1;-;-;-
Clarion;PN;CLAN4;24956666000186;Clarion;Ação;BRCLANACNPR8;-;-;-
Claro Telecom Part S/A;ON;23531 ON;7043628000113;Claro Telecom Part S/A;Ação;-;-;-;-
Clearsale;ON;CLSA3;3802115000198;Clearsale;Ação;BRCLSAACNOR0;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
Cli Sul S/A;ON;27243 ON;43514079000181;Cli Sul S/A;Ação;-;-;-;-
Cma Part;ON;CMMA3;31959356000180;Cma Part;Ação;-;-;-;-
Cma Part;PN;CMMA4;31959356000180;Cma Part;Ação;-;-;-;-
Coari Part;ON;COAR3;4030087000109;Coari Part;Ação;BRCOARACNOR6;-;-;-
Coari Part;PN;COAR4;4030087000109;Coari Part;Ação;BRCOARACNPR3;-;-;-
Cobrasma;ON;CBMA3;61080313000191;Cobrasma;Ação;BRCBMAACNOR4;Bens industriais;Material de transporte;Material ferroviário
Cobrasma;PN;CBMA4;61080313000191;Cobrasma;Ação;BRCBMAACNPR1;Bens industriais;Material de transporte;Material ferroviário
Cobuccio Sec de Créditos S/A;ON;24724 ON;32372085000125;Cobuccio Sec de Créditos S/A;Ação;-;-;-;-
Coelba;ON;CEEB3;15139629000194;Coelba;Ação;BRCEEBACNOR3;Utilidade pública;Energia elétrica;Energia elétrica
Coelba;PNA;CEEB5;15139629000194;Coelba;Ação;BRCEEBACNPA6;Utilidade pública;Energia elétrica;Energia elétrica
Coelba;PNB;CEEB6;15139629000194;Coelba;Ação;BRCEEBACNPB4;Utilidade pública;Energia elétrica;Energia elétrica
Coelce;ON;COCE3;7047251000170;Coelce;Ação;BRCOCEACNOR0;Utilidade pública;Energia elétrica;Energia elétrica
Coelce;PNA;COCE5;7047251000170;Coelce;Ação;BRCOCEACNPA3;Utilidade pública;Energia elétrica;Energia elétrica
Coelce;PNB;COCE6;7047251000170;Coelce;Ação;BRCOCEACNPB1;Utilidade pública;Energia elétrica;Energia elétrica
Cofap;PN;FAPC4;57500001000112;Cofap;Ação;-;-;-;-
Cogna ON;ON;COGN3;2800026000140;Cogna ON;Ação;BRCOGNACNOR2;Consumo cíclico;Diversos;Serviços educacionais
Cogna ON;PN;KROT4;2800026000140;Cogna ON;Ação;BRKROTACNPR6;Consumo cíclico;Diversos;Serviços educacionais
Cogna ON;UNT N2;KROT11;2800026000140;Cogna ON;Ação;BRKROTCDAM11;Consumo cíclico;Diversos;Serviços educacionais
Coinvest;PN;IVIL4;61460762000165;Coinvest;Ação;-;-;-;-
Coldex;PN;CLDX4;61189601000189;Coldex;Ação;-;-;-;-
Comerc;ON;COMR3;25369840000157;Comerc;Ação;BRCOMRACNOR1;Utilidade pública;Energia elétrica;Energia elétrica
Comercial Quintella Com Exp S/A;ON;15652 ON;994533000136;Comercial Quintella Com Exp S/A;Ação;-;-;-;-
Comercial Quintella Com Exp S/A;PN;15652 PN;994533000136;Comercial Quintella Com Exp S/A;Ação;-;-;-;-
Comgas;ON;CGAS3;61856571000117;Comgas;Ação;BRCGASACNOR0;Utilidade pública;Gás;Gás
Comgas;PNA;CGAS5;61856571000117;Comgas;Ação;BRCGASACNPA3;Utilidade pública;Gás;Gás
Companhia Aurifera Bras S/A;ON;02287 ON;12078880000106;Companhia Aurifera Bras S/A;Ação;-;-;-;-
Companhia de Gás de Minas Gerais - Gasmig;ON;25178 ON;22261473000185;Companhia de Gás de Minas Gerais - Gasmig;Ação;-;-;-;-
Companhia de Gás de Minas Gerais - Gasmig;PN;25178 PN;22261473000185;Companhia de Gás de Minas Gerais - Gasmig;Ação;-;-;-;-
Companhia do Metropolitano de São Paulo - Metrô;ON;27065 ON;62070362000106;Companhia do Metropolitano de São Paulo - Metrô;Ação;-;-;-;-
Companhia Energética Jaguara;ON;02442 ON;28925264000175;Companhia Energética Jaguara;Ação;-;-;-;-
Companhia Energética Miranda;ON;24430 ON;28942127000149;Companhia Energética Miranda;Ação;-;-;-;-
Companhia Energética Sinop S/A;ON;24155 ON;19527586000175;Companhia Energética Sinop S/A;Ação;-;-;-;-
Companhia Paranaense de Securitização - Prsec;ON;23914 ON;23043212000151;Companhia Paranaense de Securitização - Prsec;Ação;-;-;-;-
Companhia Paulista de Securitizacao;ON;22080 ON;11274829000107;Companhia Paulista de Securitizacao;Ação;-;-;-;-
Company;ON;CPNY3;58877812000108;Company;Ação;-;-;-;-
Compass Gas;ON;PASS3;21389501000181;Compass Gas;Ação;BRPASSACNOR7;Utilidade pública;Gás;Gás
Compass Gas;PNA;PASS5;21389501000181;Compass Gas;Ação;BRPASSACNPA0;Utilidade pública;Gás;Gás
Compass Gas;PNB;PASS6;21389501000181;Compass Gas;Ação;BRPASSACNPB8;Utilidade pública;Gás;Gás
Compesca Cia Bras de Pesca;ON;04596 ON;61231155000123;Compesca Cia Bras de Pesca;Ação;-;-;-;-
Conc de Rod do Oeste de SP - Viaoeste S/A;ON;21024 ON;2415408000150;Conc de Rod do Oeste de SP - Viaoeste S/A;Ação;-;-;-;-
Conc de Rod do Oeste de SP - Viaoeste S/A;PN;21024 PN;2415408000150;Conc de Rod do Oeste de SP - Viaoeste S/A;Ação;-;-;-;-
Conc de Rodov do Interior Paulista SA;ON;21849 ON;3207703000183;Conc de Rodov do Interior Paulista SA;Ação;-;-;-;-
Conc do Aerop Inter de Guarulhos S/A;ON;23515 ON;15578569000106;Conc do Aerop Inter de Guarulhos S/A;Ação;-;-;-;-
Conc Ponte Rio-Niteroi S/A - Ecoponte;ON;24139 ON;22163297000149;Conc Ponte Rio-Niteroi S/A - Ecoponte;Ação;-;-;-;-
Conc Rio Ter;ON;CRTE3;938574000105;Conc Rio Ter;Ação;BRCRTEACNOR7;Bens industriais;Transporte;Exploração de rodovias
Conc Rio Ter;PNA;CRTE5;938574000105;Conc Rio Ter;Ação;BRCRTEACNPA0;Bens industriais;Transporte;Exploração de rodovias
Concebra Concess Das Rod Centrais do Brasil S/A;ON;23868 ON;18572225000188;Concebra Concess Das Rod Centrais do Brasil S/A;Ação;-;-;-;-
Conces da Rod Osorio Poa SA;ON;17590 ON;1654604000114;Conces da Rod Osorio Poa SA;Ação;-;-;-;-
Conces da Rod Osorio Poa SA;PN;17590 PN;1654604000114;Conces da Rod Osorio Poa SA;Ação;-;-;-;-
Concess Auto Raposo Tavares S/A;ON;22268 ON;10531501000158;Concess Auto Raposo Tavares S/A;Ação;-;-;-;-
Concess Auto Raposo Tavares S/A;PN;22268 PN;10531501000158;Concess Auto Raposo Tavares S/A;Ação;-;-;-;-
Concess Catarinense de Rodov S/A;ON;26859 ON;36763716000198;Concess Catarinense de Rodov S/A;Ação;-;-;-;-
Concess da Rodovia MG 050 S/A;ON;24104 ON;8822767000108;Concess da Rodovia MG 050 S/A;Ação;-;-;-;-
Concess Das Rodov Integradas do Sul S/A;ON;25356 ON;32161500000100;Concess Das Rodov Integradas do Sul S/A;Ação;-;-;-;-
Concess de Rodov Sul-Matogrossense S/A;ON;23833 ON;19642306000170;Concess de Rodov Sul-Matogrossense S/A;Ação;-;-;-;-
Concess Rodov Pres Dutra SA;ON;19577 ON;861626000192;Concess Rodov Pres Dutra SA;Ação;-;-;-;-
Concess Rodov Pres Dutra SA;PN;19577 PN;861626000192;Concess Rodov Pres Dutra SA;Ação;-;-;-;-
Concess Rodovias Tiete SA;ON;22721 ON;10678505000163;Concess Rodovias Tiete SA;Ação;-;-;-;-
Concess Rota Das Bandeiras S/A;ON;22071 ON;10647979000148;Concess Rota Das Bandeiras S/A;Ação;-;-;-;-
Concess Rota Das Bandeiras S/A;PN;22071 PN;10647979000148;Concess Rota Das Bandeiras S/A;Ação;-;-;-;-
Concessão Metroviaria Rj S/A;ON;22144 ON;10324624000118;Concessão Metroviaria Rj S/A;Ação;-;-;-;-
Concessionaria BR-040 S/A;ON;23892 ON;19726048000100;Concessionaria BR-040 S/A;Ação;-;-;-;-
Concessionaria Ecovias do Araguaia S/A;ON;26638 ON;15090690000194;Concessionaria Ecovias do Araguaia S/A;Ação;-;-;-;-
Concessionária Ecovias do Cerrado S/A;ON;26581 ON;35593905000105;Concessionária Ecovias do Cerrado S/A;Ação;-;-;-;-
Concessionaria Ecovias Dos Imigrantes SA;ON;20397 ON;2509491000126;Concessionaria Ecovias Dos Imigrantes SA;Ação;-;-;-;-
Concessionaria Rota de Santa Maria S/A;ON;27294 ON;41886692000102;Concessionaria Rota de Santa Maria S/A;Ação;-;-;-;-
Concessionária Rota do Oeste S/A;ON;23922 ON;19521322000104;Concessionária Rota do Oeste S/A;Ação;-;-;-;-
Confab;ON;CNFB3;60882628000190;Confab;Ação;BRCNFBACNOR1;-;-;-
Confab;PN;CNFB4;60882628000190;Confab;Ação;BRCNFBACNPR8;-;-;-
Confianza Securitizadora S/A;ON;18236 ON;2736470000143;Confianza Securitizadora S/A;Ação;-;-;-;-
Conpel Cia Nordestina Papel;ON;04685 ON;9116278000101;Conpel Cia Nordestina Papel;Ação;-;-;-;-
Conpel Cia Nordestina Papel;PN;04685 PN;9116278000101;Conpel Cia Nordestina Papel;Ação;-;-;-;-
Consig 6 I Cia Sec de Cred Financeiros;ON;025054 ON;36243187000100;Consig 6 I Cia Sec de Cred Financeiros;Ação;-;-;-;-
Consignados I Cia Sec de Cred Financeiros;ON;24899 ON;29894663000189;Consignados I Cia Sec de Cred Financeiros;Ação;-;-;-;-
Const A Lind;ON;CALI3;61022042000118;Const A Lind;Ação;BRCALIACNOR1;Consumo cíclico;Construção civil;Incorporações
Const A Lind;PN;CALI4;61022042000118;Const A Lind;Ação;BRCALIACNPR8;Consumo cíclico;Construção civil;Incorporações
Const Beter;ON;COBE3B;61192373000104;Const Beter;Ação;BRCOBEACNOR2;-;-;-
Const Beter;PNA;COBE5B;61192373000104;Const Beter;Ação;BRCOBEACNPA5;-;-;-
Const Beter;PNB;COBE6B;61192373000104;Const Beter;Ação;BRCOBEACNPB3;-;-;-
Contagem Sec de Créditos Financeiros S/A;ON;24651 ON;31594055000109;Contagem Sec de Créditos Financeiros S/A;Ação;-;-;-;-
Continental;PN;CTLU4;60736279000106;Continental;Ação;-;-;-;-
Contour Global do Brasil Part S/A;ON;26158 ON;7802794000156;Contour Global do Brasil Part S/A;Ação;-;-;-;-
Copas;PN;COPA4;61087912000137;Copas;Ação;-;-;-;-
Copasa;ON;CSMG3;17281106000103;Copasa;Ação;BRCSMGACNOR5;Utilidade pública;Água e saneamento;Água e saneamento
Copel;ON;CPLE3;76483817000120;Copel;Ação;BRCPLEACNOR8;Utilidade pública;Energia elétrica;Energia elétrica
Copel;PNA;CPLE5;76483817000120;Copel;Ação;BRCPLEACNPA1;Utilidade pública;Energia elétrica;Energia elétrica
Copel;PNB;CPLE6;76483817000120;Copel;Ação;BRCPLEACNPB9;Utilidade pública;Energia elétrica;Energia elétrica
Copel;UNT;CPLE11;76483817000120;Copel;Ação;BRCPLECDAM13;Utilidade pública;Energia elétrica;Energia elétrica
Copel Distribuição S/A;ON;26808 ON;4368898000106;Copel Distribuição S/A;Ação;-;-;-;-
Copel Geração e Transmissão S/A;ON;24740 ON;4370282000170;Copel Geração e Transmissão S/A;Ação;-;-;-;-
Copesul;ON;CPSL3;88948492000192;Copesul;Ação;-;-;-;-
Copisec Securitizadora de Créditos Financeiros S/A;ON;24570 ON;29845329000135;Copisec Securitizadora de Créditos Financeiros S/A;Ação;-;-;-;-
Cor Ribeiro;ON;CORR3;15101405000193;Cor Ribeiro;Ação;BRCORRACNOR0;Financeiro;Exploração de imóveis;Exploração de imóveis
Cor Ribeiro;PN;CORR4;15101405000193;Cor Ribeiro;Ação;BRCORRACNPR7;Financeiro;Exploração de imóveis;Exploração de imóveis
Corbetta;PN;CBTA4;92670959000152;Corbetta;Ação;-;-;-;-
Corredor Logística e Infraestrutura S/A;ON;27260 ON;15114494000102;Corredor Logística e Infraestrutura S/A;Ação;-;-;-;-
Corredor Logística e Infraestrutura S/A;PN;27260 PN;15114494000102;Corredor Logística e Infraestrutura S/A;Ação;-;-;-;-
Cosan;ON;CSAN3;50746577000115;Cosan;Ação;BRCSANACNOR6;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
Cosan Log;ON;RLOG3;17346997000139;Cosan Log;Ação;BRRLOGACNOR4;Bens industriais;Transporte;Transporte ferroviário
Cosan Ltd;ON A;CZLT33;8887330000152;Cosan Ltd;Ação;BRCZLTBDR009;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
Cosern;ON;CSRN3;8324196000181;Cosern;Ação;BRCSRNACNOR0;Utilidade pública;Energia elétrica;Energia elétrica
Cosern;PNA;CSRN5;8324196000181;Cosern;Ação;BRCSRNACNPA3;Utilidade pública;Energia elétrica;Energia elétrica
Cosern;PNB;CSRN6;8324196000181;Cosern;Ação;BRCSRNACNPB1;Utilidade pública;Energia elétrica;Energia elétrica
Cosipa;ON;CSPC3;2790893000141;Cosipa;Ação;-;-;-;-
Cosipa;PN;CSPC4;2790893000141;Cosipa;Ação;-;-;-;-
Coteminas;ON;CTNM3;22677520000176;Coteminas;Ação;BRCTNMACNOR9;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
Coteminas;PN;CTNM4;22677520000176;Coteminas;Ação;BRCTNMACNPR6;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CPFL Energia;ON;CPFE3;2429144000193;CPFL Energia;Ação;BRCPFEACNOR0;Utilidade pública;Energia elétrica;Energia elétrica
CPFL Geracao;ON;CPFG3;3953509000147;CPFL Geracao;Ação;-;-;-;-
CPFL Geracao;PN;CPFG4;3953509000147;CPFL Geracao;Ação;-;-;-;-
CPFL Piratininga;ON;CPFP3;4172213000151;CPFL Piratininga;Ação;-;-;-;-
CPFL Piratininga;PN;CPFP4;4172213000151;CPFL Piratininga;Ação;-;-;-;-
CPFL Renovav;ON;CPRE3;8439659000150;CPFL Renovav;Ação;BRCPREACNOR5;Utilidade pública;Energia elétrica;Energia elétrica
Credgrid Serviços Financeiros S/A;ON;26972 ON;21331849000118;Credgrid Serviços Financeiros S/A;Ação;-;-;-;-
Cremer;ON;CREM3;82641325000118;Cremer;Ação;BRCREMACNOR2;Saúde;Medicamentos e outros produtos;Medicamentos e outros produtos
Cremer (Antiga);PN;CREM4-old;82641325000118;Cremer (Antiga);Ação;-;-;-;-
Cristal;ON;CRPG3;15115504000124;Cristal;Ação;BRCRPGACNOR0;Materiais básicos;Químicos;Químicos diversos
Cristal;PNA;CRPG5;15115504000124;Cristal;Ação;BRCRPGACNPA3;Materiais básicos;Químicos;Químicos diversos
Cristal;PNB;CRPG6;15115504000124;Cristal;Ação;BRCRPGACNPB1;Materiais básicos;Químicos;Químicos diversos
Crt Celular;ON;CRTP3;-;Crt Celular;Ação;-;-;-;-
Crt Celular;PNA;CRTP5;-;Crt Celular;Ação;-;-;-;-
Crt Ciargtelec;PNA;CRGT5;92794486000103;Crt Ciargtelec;Ação;-;-;-;-
Cruzeiro Edu;ON;CSED3;62984091000102;Cruzeiro Edu;Ação;BRCSEDACNOR9;Consumo cíclico;Diversos;Serviços educacionais
Cruzeiro Sul;ON;CZRS3;62136254000199;Cruzeiro Sul;Ação;BRCZRSACNOR4;-;-;-
Cruzeiro Sul;PN;CZRS4;62136254000199;Cruzeiro Sul;Ação;BRCZRSACNPR1;-;-;-
CS Brasil Participações e Locações S/A;ON;25739 ON;35502310000199;CS Brasil Participações e Locações S/A;Ação;-;-;-;-
Csa Cia Securitizadora de Ativos;ON;19470 ON;5889284000132;Csa Cia Securitizadora de Ativos;Ação;-;-;-;-
Csa Cia Securitizadora de Ativos;PN;19470 PN;5889284000132;Csa Cia Securitizadora de Ativos;Ação;-;-;-;-
Csn Mineracao;ON;CMIN3;8902291000115;Csn Mineracao;Ação;BRCMINACNOR2;Materiais básicos;Mineração;Minerais metálicos
Csu Digital;ON;CSUD3;1896779000138;Csu Digital;Ação;BRCSUDACNOR5;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
Ctc S.A.;ON;CTCA3;6981381000113;Ctc S.A.;Ação;BRCTCAACNOR7;Consumo não cíclico;Agropecuária;Agricultura
Ctx Participacoes S/A;ON;21652 ON;9601322000160;Ctx Participacoes S/A;Ação;-;-;-;-
Cury S/A;ON;CURY3;8797760000183;Cury S/A;Ação;BRCURYACNOR3;Consumo cíclico;Construção civil;Incorporações
Cvc Brasil;ON;CVCB3;10760260000119;Cvc Brasil;Ação;BRCVCBACNOR1;Consumo cíclico;Viagens e lazer;Viagens e turismo
Cyrela Realt;ON;CYRE3;73178600000118;Cyrela Realt;Ação;BRCYREACNOR7;Consumo cíclico;Construção civil;Incorporações
Cyrela Realt;PN;CYRE4;73178600000118;Cyrela Realt;Ação;-;Consumo cíclico;Construção civil;Incorporações
Czarina;PN;CZAR4;96735006000186;Czarina;Ação;-;-;-;-
D F Vasconc;ON;DFVA3;61482725000158;D F Vasconc;Ação;-;-;-;-
D F Vasconc;PN;DFVA4;61482725000158;D F Vasconc;Ação;-;-;-;-
D1000vfarma;ON;DMVF3;12108897000150;D1000vfarma;Ação;BRDMVFACNOR9;Saúde;Comércio e distribuição;Medicamentos e outros produtos
Daleth Part;ON;OPDL3B;2312604000107;Daleth Part;Ação;BROPDLACNOR5;-;-;-
Dasa;ON;DASA3;61486650000183;Dasa;Ação;BRDASAACNOR1;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
Dass Nordeste Calçados e Artigos Esportivos S/A;ON;02441 ON;1287588000179;Dass Nordeste Calçados e Artigos Esportivos S/A;Ação;-;-;-;-
Datasul;ON;DSUL3;3114361000157;Datasul;Ação;-;-;-;-
Datora Participações e Servições S/A;ON;26557 ON;7704246000193;Datora Participações e Servições S/A;Ação;-;-;-;-
Daycoval;ON;DAYC3;62232889000190;Daycoval;Ação;BRDAYCACNOR5;Financeiro;Intermediários financeiros;Bancos
Daycoval;PN;DAYC4;62232889000190;Daycoval;Ação;BRDAYCACNPR2;Financeiro;Intermediários financeiros;Bancos
Descarbonize Soluções S/A;ON;27278 ON;81106957000119;Descarbonize Soluções S/A;Ação;-;-;-;-
Desktopsigma;ON;DESK3;8170849000115;Desktopsigma;Ação;BRDESKACNOR2;Comunicações;Telecomunicações;Telecomunicações
Dexco;ON;DXCO3;97837181000147;Dexco;Ação;BRDXCOACNOR8;Materiais básicos;Madeira e papel;Madeira
Dexxos Par;ON;DEXP3;2193750000152;Dexxos Par;Ação;BRDEXPACNOR1;Materiais básicos;Químicos;Petroquímicos
Dexxos Par;PN;DEXP4;2193750000152;Dexxos Par;Ação;BRDEXPACNPR8;Materiais básicos;Químicos;Petroquímicos
DHB;ON;DHBI3;92825900000196;DHB;Ação;BRDHBIACNOR5;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
DHB;PN;DHBI4;92825900000196;DHB;Ação;BRDHBIACNPR2;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
Dibens Leasing SA;ON;14214 ON;65654303000173;Dibens Leasing SA;Ação;-;-;-;-
Digitel S/A Ind Eletr;ON;12858 ON;89547269000104;Digitel S/A Ind Eletr;Ação;-;-;-;-
Digitel S/A Ind Eletr;PN;12858 PN;89547269000104;Digitel S/A Ind Eletr;Ação;-;-;-;-
Dijon;ON;DJON3;40173064000109;Dijon;Ação;-;-;-;-
Dijon;PN;DJON4;40173064000109;Dijon;Ação;-;-;-;-
Dimed;ON;PNVL3;92665611000177;Dimed;Ação;BRPNVLACNOR9;Saúde;Comércio e distribuição;Medicamentos e outros produtos
Dimed;PN;PNVL4;92665611000177;Dimed;Ação;BRPNVLACNPR6;Saúde;Comércio e distribuição;Medicamentos e outros produtos
Dinamica Ene;ON;DNEN3B;7659538000151;Dinamica Ene;Ação;BRDNENACNOR7;-;-;-
Direcional;ON;DIRR3;16614075000100;Direcional;Ação;BRDIRRACNOR0;Consumo cíclico;Construção civil;Incorporações
Dixie Toga;ON;DXTG3;60394723000144;Dixie Toga;Ação;-;-;-;-
Dixie Toga;PN;DXTG4;60394723000144;Dixie Toga;Ação;-;-;-;-
Dmfinanceira;ON;DMFN3;91669747000192;Dmfinanceira;Ação;BRDMFNACNOR6;Financeiro;Intermediários financeiros;Soc. crédito e financiamento
Doc Imbituba;ON;IMBI3;84208123000102;Doc Imbituba;Ação;BRIMBIACNOR4;Bens industriais;Transporte;Serviços de apoio e armazenagem
Doc Imbituba;PN;IMBI4;84208123000102;Doc Imbituba;Ação;BRIMBIACNPR1;Bens industriais;Transporte;Serviços de apoio e armazenagem
Docas;ON;DOCA3;33433665000148;Docas;Ação;BRDOCAACNOR6;-;-;-
Docas;PN;DOCA4;33433665000148;Docas;Ação;BRDOCAACNPR3;-;-;-
Dohler;ON;DOHL3;84683408000103;Dohler;Ação;BRDOHLACNOR2;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
Dohler;PN;DOHL4;84683408000103;Dohler;Ação;BRDOHLACNPR9;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
Dommo;ON;DMMO3;8926302000105;Dommo;Ação;BRDMMOACNOR0;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
Dommo Empr;ON;CALA3B;4034792000176;Dommo Empr;Ação;BRCALAACNOR8;Financeiro;Outros;Outros
Dommo Empr;PN;CALA4B;4034792000176;Dommo Empr;Ação;BRCALAACNPR5;Financeiro;Outros;Outros
Domus Populi;ON;DOMO3;11858621000127;Domus Populi;Ação;BRDOMOACNOR6;-;-;-
Dori Alimentos S/A;ON;26360 ON;52123916000132;Dori Alimentos S/A;Ação;-;-;-;-
Dotz SA;ON;DOTZ3;18174270000184;Dotz SA;Ação;BRDOTZACNOR7;Consumo cíclico;Diversos;Programas de fidelização
Douat Textil;ON;ARPS3;82610726000100;Douat Textil;Ação;-;-;-;-
Douat Textil;PN;ARPS4;82610726000100;Douat Textil;Ação;-;-;-;-
Dtcom Direct;ON;DTCY3;3303999000136;Dtcom Direct;Ação;BRDTCYACNOR5;Bens industriais;Serviços diversos;Serviços diversos
Dtcom Direct;PN;DTCY4;3303999000136;Dtcom Direct;Ação;BRDTCYACNPR2;Bens industriais;Serviços diversos;Serviços diversos
Dufry AG;ON;DAGB33;11423623000193;Dufry AG;Ação;BRDAGBBDR008;Consumo cíclico;Comércio;Produtos diversos
Dufrybras;ON;DUFB11;-;Dufrybras;Ação;BRDUFBBDR008;-;-;-
Duratex-Old;ON;DURA3;-;Duratex-Old;Ação;-;-;-;-
Duratex-Old;PN;DURA4;-;Duratex-Old;Ação;-;-;-;-
Duxxi Imobiliaria S/A;ON;22047 ON;10382341000122;Duxxi Imobiliaria S/A;Ação;-;-;-;-
Ebec Emp Bras de Engenharia e Comércio SA;ON;27120 ON;17162280000137;Ebec Emp Bras de Engenharia e Comércio SA;Ação;-;-;-;-
Ecisa;ON;ECIS3;33261561000101;Ecisa;Ação;-;-;-;-
Ecisa;PN;ECIS4;33261561000101;Ecisa;Ação;-;-;-;-
Eco Sec Dtos Cred Agroneg S/A;ON;21741 ON;10753164000143;Eco Sec Dtos Cred Agroneg S/A;Ação;-;-;-;-
Eco050 Concess de Rodovias S/A;ON;23884 ON;19208022000170;Eco050 Concess de Rodovias S/A;Ação;-;-;-;-
Eco101 Concess de Rodov S/A;ON;23582 ON;15484093000144;Eco101 Concess de Rodov S/A;Ação;-;-;-;-
Economico;ON;BCE3;15124464000187;Economico;Ação;-;-;-;-
Economico;PN;BCE4;15124464000187;Economico;Ação;-;-;-;-
Ecopistas - Concess Das Rodov Ayrton Senna S/A;ON;22411 ON;10841050000155;Ecopistas - Concess Das Rodov Ayrton Senna S/A;Ação;-;-;-;-
Ecorodovias;ON;ECOR3;4149454000180;Ecorodovias;Ação;BRECORACNOR8;Bens industriais;Transporte;Exploração de rodovias
Ecorodovias Concessoes e Serv SA;ON;21903 ON;8873873000110;Ecorodovias Concessoes e Serv SA;Ação;-;-;-;-
Ecovias do Cerrado S/A;;093920 ON;35593905000105;Ecovias do Cerrado S/A;Ação;-;-;-;-
Edafo Securitizadora S/A;ON;24325 ON;27092587000162;Edafo Securitizadora S/A;Ação;-;-;-;-
Edn;PNA;EDNE5;13565502000101;Edn;Ação;-;-;-;-
Eixo SP Concessionária de Rodov S/A;ON;26875 ON;36146575000164;Eixo SP Concessionária de Rodov S/A;Ação;-;-;-;-
Eldorado;ON;ASSM3;62791116000143;Eldorado;Ação;-;-;-;-
Eldorado;PN;ASSM4;62791116000143;Eldorado;Ação;-;-;-;-
Eldorado Brasil Celulose S/A;ON;22810 ON;7401436000131;Eldorado Brasil Celulose S/A;Ação;-;-;-;-
Elea Digital Infra e Redes de Telecom S/A;ON;26948 ON;35980592000130;Elea Digital Infra e Redes de Telecom S/A;Ação;-;-;-;-
Electrolux;PN;REPA4;76487032000125;Electrolux;Ação;-;-;-;-
Elekeiroz;ON;ELEK3;13788120000147;Elekeiroz;Ação;BRELEKACNOR5;Materiais básicos;Químicos;Petroquímicos
Elekeiroz;PN;ELEK4;13788120000147;Elekeiroz;Ação;BRELEKACNPR2;Materiais básicos;Químicos;Petroquímicos
Elektro;ON;EKTR3;2328280000197;Elektro;Ação;BREKTRACNOR0;Utilidade pública;Energia elétrica;Energia elétrica
Elektro;PN;EKTR4;2328280000197;Elektro;Ação;BREKTRACNPR7;Utilidade pública;Energia elétrica;Energia elétrica
Eletrobras;ON;ELET3;1180000126;Eletrobras;Ação;BRELETACNOR6;Utilidade pública;Energia elétrica;Energia elétrica
Eletrobras;PNA;ELET5;1180000126;Eletrobras;Ação;BRELETACNPA9;Utilidade pública;Energia elétrica;Energia elétrica
Eletrobras;PNB;ELET6;1180000126;Eletrobras;Ação;BRELETACNPB7;Utilidade pública;Energia elétrica;Energia elétrica
Eletromidia;ON;ELMD3;9347516000181;Eletromidia;Ação;BRELMDACNOR3;Comunicações;Mídia;Publicidade e propaganda
Eletron;ON;ETRO3B;514998000142;Eletron;Ação;BRETROACNOR2;Outros;Outros;Outros
